error,real_correct,predicted_correct,diff_r,diff_p
Students can focus on only a few subjects they are intwerested in and they will become experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas .,Students can focus on only a few subjects they are interested in and they will become experts in those areas.,{'interested'},"{'areas.', 'interested'}"
He thinks differently than others and he has succeded .,He thinks differently than others and he has succeeded .,He thinks differently than others and he has succeeded.,{'succeeded'},{'succeeded.'}
These activities make the community a better place to live and include these values in all the members .,These activities make the community a better place to live and include those values in all the members .,These activities make the community a better place to live and include these values in all the members.,{'those'},{'members.'}
"all the broad knowledge helps they to understand their major in university classes , as well as help they to make a correct choice in a specialized area .","all the broad knowledge helps them to understand their major in university classes , as well as help them to make a correct choice in a specialized area .","All the broad knowledge helps them to understand their major in university classes, as well as help them to make a correct choice in a specialized area.",{'them'},"{'All', 'classes,', 'area.', 'them'}"
I could very easily understand why he would always brang bad marks home .,I could very easily understand why he would always bring bad marks home .,I could very easily understand why he would always bring bad marks home.,{'bring'},"{'home.', 'bring'}"
"Then , when we went to the Science Olympiad , she had diverse knowledge about the subects , and it was not new for her to think about new things .","Then , when we went to the Science Olympiad , she had diverse knowledge about the subjects , and it was not new for her to think about new things .","Then, when we went to the Science Olympiad, she had diverse knowledge about the subjects, and it was not new for her to think about new things.",{'subjects'},"{'Then,', 'Olympiad,', 'subjects,', 'things.'}"
"If every person tries to learn and understand lots of scientifc subjects , no person will do it and , as a result of this , no science will be improved .","If every person tries to learn and understand lots of scientific subjects , no person will do it and , as a result of this , no science will be improved .","If every person tries to learn and understand lots of scientific subjects, no person will do it and, as a result of this, no science will be improved.",{'scientific'},"{'and,', 'improved.', 'this,', 'scientific', 'subjects,'}"
they will run out very soon at the current rate of utilisation .,they will run out very soon at the current rate of utilization .,They will run out very soon as the current rate of utilization.,{'utilization'},"{'They', 'utilization.', 'as'}"
and it will put your maind into non-stop learning .,and it will put your mind into non-stop learning .,And it will put your mind into non-stop learning.,{'mind'},"{'mind', 'And', 'learning.'}"
In today 's world Compuer skills are the first important life skill .,In today 's world Computer skills are the first important life skill .,In today 's world computer skills are the first important life skill.,{'Computer'},"{'computer', 'skill.'}"
"I have never stopped myself to think this , but this is a real possibility for the fucture .","I have never stopped myself to think this , but this is a real possibility for the future .","I have never stopped myself to think this, but this is a real possibility for the future.",{'future'},"{'future.', 'this,'}"
"If we conseder an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience .","If we consider an idea as a totally autonomous concept within the individual process of defining reality , I think the ideas are useless , and not based on experience .","If we consider an idea as a totally autonomous concept within the individual process of defining reality, I think the ideas are useless, and not based on experience.",{'consider'},"{'reality,', 'consider', 'useless,', 'experience.'}"
"If there are specialized docters that have done the operation often , he becomes talented in his job .","If there are specialized doctors that have done the operation often , he becomes talented in his job .","If there are specialized doctors that have done the operation often, he becomes talented in his job.",{'doctors'},"{'doctors', 'often,', 'job.'}"
It will be good situstion .,It will be good situation .,It will be a good situation.,{'situation'},"{'situation.', 'a'}"
the school teachers there are the ones who create the future of the younger genaration so we have to teach them better .,the school teachers there are the ones who create the future of the younger generation so we have to teach them better .,"The school teachers there are the ones who create the future of the younger generation, so we have to teach them better.",{'generation'},"{'The', 'better.', 'generation,'}"
some tour guide will want to set maximum security to make the tour difficult because you will only have a wonderful view throught the bus .,some tour guide will want to set maximum security to make the tour difficult because you will only have a wonderful view through the bus .,Some tour guide will want to set maximum security to make the tour difficult because you will only have a wonderful view throughout the bus.,{'through'},"{'Some', 'bus.', 'throughout'}"
this will effect exams .,this will affect exams .,This will effect exams.,{'affect'},"{'This', 'exams.'}"
"But on the other hand ther are also people that are often convinced by the interesting advertisements they see everywhere , because of this many times they have to face problems with the product that they bought and many times ther is no way to give back that product .","But on the other hand there are also people that are often convinced by the interesting advertisements they see everywhere , because of this many times they have to face problems with the product that they bought and many times there is no way to give back that product .","But on the other hand, there are also people that are often convinced by the interesting advertisements they see everywhere, because of this many times they have to face problems with the product that they bought and many times there is no way to give back that product.",{'there'},"{'there', 'product.', 'everywhere,', 'hand,'}"
Ever increasing competancy rates force them into frequent business model changes for a compatible transitional flexibility .,Ever increasing competency rates force them into frequent business model changes for a compatible transitional flexibility .,Ever increasing competency rates force them into frequent business model changes for a compatible transitional flexibility.,{'competency'},"{'competency', 'flexibility.'}"
"However , this reading passage casts douts on the speaker 's mention .","However , this reading passage casts doubts on the speaker 's mention .","However, this reading passage casts doubts on the speaker 's mention.",{'doubts'},"{'However,', 'mention.', 'doubts'}"
"For example , in the 2 0 0 6 world cup form Germany , many coaches on a work .","For example , in the 2 0 0 6 world cup form Germany , many coaches on a team .","For example, in the 2 0 0 6 world cup form Germany, many coaches on a work.",{'team'},"{'work.', 'Germany,', 'example,'}"
"Many Scientists obtained clear results of investigations after the facts were on the table , but before they could even begin to theorise about them .","Many Scientists obtained clear results of investigations after the facts were on the table , but before they could even begin to theorize about them .","Many Scientists obtained clear results of investigations after the facts were on the table, but before they could even begin to theorize about them.",{'theorize'},"{'table,', 'them.', 'theorize'}"
They want to make people understend thet their product is the best and you can really trust it .,They want to make people understand that their product is the best and you can really trust it .,They want to make people understand that their product is the best and you can really trust it.,"{'understand', 'that'}","{'understand', 'that', 'it.'}"
"Video is convenient , but if teachers are concerned about students , using texetbooks is a good ability for students .","Video is convenient , but if teachers are concerned about students , using textbooks is a good ability for students .","Video is convenient, but if teachers are concerned about students, using textbooks is a good ability for students.",{'textbooks'},"{'textbooks', 'convenient,', 'students.', 'students,'}"
"In my opinion , it is dependend on a particular person .","In my opinion , it is dependent on a particular person .","In my opinion, it is dependent on a particular person.",{'dependent'},"{'person.', 'dependent', 'opinion,'}"
"When you go uphill , you hvae to bend your back .","When you go uphill , you have to bend your back .","When you go uphill, you have to bend your back.",{'have'},"{'back.', 'have', 'uphill,'}"
They paid much attemtion to their faces and spent lots of money to shop .,They paid much attention to their faces and spent lots of money to shop .,They paid much attention to their faces and spent lots of money to shop.,{'attention'},"{'shop.', 'attention'}"
"I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Srcubs , etc .","I started to notice the ways of foreign clothing and hair styles these past days by watching TV programs , such as Friends , Scrubs , etc .","I started to notice the ways of foreign clothing and hair styles, these past days by watching TV programs, such as Friends, Srcubs, etc..",{'Scrubs'},"{'Srcubs,', 'etc..', 'Friends,', 'styles,', 'programs,'}"
I like you give me any commets and opinoins too .,I like you give me any comments and opinions too .,I like you give me any comments and opinions too.,"{'opinions', 'comments'}","{'opinions', 'comments', 'too.'}"
It was like warter and his bottom was red .,It was like water and his bottom was red .,It was like water and his bottom was red.,{'water'},"{'red.', 'water'}"
"Everyday , there are new thinngs to try .","Everyday , there are new things to try .","Every day, there are new things to try.",{'things'},"{'day,', 'try.', 'Every', 'things'}"
It 's a kind of Tai - wan stayle massage .,It 's a kind of Tai - wan style massage .,It's a kind of Tai - wan style massage.,{'style'},"{'style', 'massage.', ""It's""}"
"After that , I went to a fittness club which has bedrock bathing .","After that , I went to a fitness club which has bedrock bathing .","After that, I went to a fitness club which has bedrock bathing.",{'fitness'},"{'fitness', 'that,', 'bathing.'}"
It 's nearlly 12 pm .,It 's nearly 12 pm .,It's nearly 12 pm.,{'nearly'},"{'nearly', 'pm.', ""It's""}"
Elections will be held on Augst 30th .,Elections will be held on August 30th .,Elections will be held on Augst 30th.,{'August'},{'30th.'}
This time they may lose adoministration .,This time they may lose administration .,This time they may lose administration.,{'administration'},{'administration.'}
It is made of spnge : ) It is cute .,It is made of sponge : ) It is cute .,It is made of sponge:) It is cute.,{'sponge'},"{'sponge:)', 'cute.'}"
"I 'm laerning English , but it 's really difficult for me !","I 'm learning English , but it 's really difficult for me !","I'm learning English, but it's really difficult for me!",{'learning'},"{'English,', 'me!', ""it's"", 'learning', ""I'm""}"
"I was releaved to hear the doctor 's diagnosis , but I 'm still worried .","I was relieved to hear the doctor 's diagnosis , but I 'm still worried .","I was relieved to hear the doctor 's diagnosis, but I'm still worried.",{'relieved'},"{'relieved', 'diagnosis,', ""I'm"", 'worried.'}"
"Inovative and original ideas are good , but if you can not find them , you should know that most of research work is just refinement of other 's work .","Innovative and original ideas are good , but if you can not find them , you should know that most of research work is just refinement of other 's work .","Innovative and original ideas are good, but if you can not find them, you should know that most of the research work is just a refinement of other 's work.",{'Innovative'},"{'work.', 'Innovative', 'them,', 'good,', 'the', 'a'}"
I was somewhat puzzied what to say .,I was somewhat puzzled what to say .,I was somewhat puzzled what to say.,{'puzzled'},"{'puzzled', 'say.'}"
"So , after he was made consul by the Romans , he went to Afrika , where he fought againt Yugurta , who was king of Numidia .","So , after he was made consul by the Romans , he went to Africa , where he fought against Yugurta , who was king of Numidia .","So, after he was made consul of the Romans, he went to Afrika, where he fought against Yugurta, who was king of Numidia.","{'against', 'Africa'}","{'So,', 'against', 'Afrika,', 'Numidia.', 'Romans,', 'Yugurta,'}"
caz I don have a school until then ! !,cuz I don have a school until then ! !,Cause I don't have a school until then! !,{'cuz'},"{'Cause', 'then!', ""don't""}"
That 's why I 'm very excited to teach studens English ! !,That 's why I 'm very excited to teach students English ! !,That's why I'm very excited to teach students English! !,{'students'},"{""That's"", 'English!', 'students', ""I'm""}"
"Those are such things as playing sports , reading books , lithening to music , taking walks .","Those are such things as playing sports , reading books , listening to music , taking walks .","Those are such things as playing sports, reading books, listening to music, taking walks.",{'listening'},"{'sports,', 'music,', 'listening', 'walks.', 'books,'}"
"My favorit hobby is talking with my friends , because I think it is the best time to be with my friends .","My favorite hobby is talking with my friends , because I think it is the best time to be with my friends .","My favorite hobby is talking with my friends, because I think it is the best time to be with my friends.",{'favorite'},"{'friends,', 'favorite', 'friends.'}"
"The otehr day , I met one of my classmate from high school at a station , for the first time in fifteen years .","The other day , I met one of my classmate from high school at a station , for the first time in fifteen years .","The other day, I met one of my classmates from high school at a station, for the first time in fifteen years.",{'other'},"{'other', 'day,', 'years.', 'classmates', 'station,'}"
Although I know a private school student like me in Singapore is sticktly prohibit to go to have a job .,Although I know a private school student like me in Singapore is stictly prohibit to go to have a job .,Although I know a private school student like me in Singapore is strictly prohibited to go to have a job.,{'stictly'},"{'prohibited', 'strictly', 'job.'}"
"Today , I went to the karaoke box with my son and naighbors .","Today , I went to the karaoke box with my son and neighbors .","Today, I went to the karaoke box with my son and neighbors.",{'neighbors'},"{'neighbors.', 'Today,'}"
I slept all day untill I had to work .,I slept all day until I had to work .,I slept all day until I had to work.,{'until'},"{'work.', 'until'}"
"fourtunely , I am a hero of justice .","Fortunately , I am a hero of justice .","Fortunately, I am a hero of justice.",{'Fortunately'},"{'Fortunately,', 'justice.'}"
I think that the war shoud never of happened .,I think that the war should never of happened .,I think that the war should never of happened.,{'should'},"{'should', 'happened.'}"
"I do n't understand why so many people are into this stuff , I deceided to arrange some nice dates for my friends by following my own style .","I do n't understand why so many people are into this stuff , I decided to arrange some nice dates for my friends by following my own style .","I don't understand why so many people are into this stuff, I decided to arrange some nice dates for my friends by following my own style.",{'decided'},"{'decided', 'stuff,', 'style.', ""don't""}"
"Without audiences , love judges , parents , just a friendly and private atmosphere , which allows them to be theirselves and enjoy the moment .","Without audiences , love judges , parents , just a friendly and private atmosphere , which allows them to be themselves and enjoy the moment .","Without audiences, love judges, parents, just a friendly and private atmosphere, which allows them to be themselves and enjoy the moment.",{'themselves'},"{'parents,', 'moment.', 'themselves', 'atmosphere,', 'judges,', 'audiences,'}"
"Going abroad is my dream , so I really cherich this opportunity .","Going abroad is my dream , so I really cherish this opportunity .","Going abroad is my dream, so I really cherish this opportunity.",{'cherish'},"{'cherish', 'opportunity.', 'dream,'}"
